country,Country Code,Indicator Name,Indicator Code,co2_emission
Thailand,THA,CO2 emissions (kt),EN.ATM.CO2E.KT,265478.9
Tajikistan,TJK,CO2 emissions (kt),EN.ATM.CO2E.KT,9328.8
Turkmenistan,TKM,CO2 emissions (kt),EN.ATM.CO2E.KT,63655
Latin America & the Caribbean (IDA & IBRD countries),TLA,CO2 emissions (kt),EN.ATM.CO2E.KT,1410200.16
Timor-Leste,TLS,CO2 emissions (kt),EN.ATM.CO2E.KT,446.1
Middle East & North Africa (IDA & IBRD countries),TMN,CO2 emissions (kt),EN.ATM.CO2E.KT,1370939
Tonga,TON,CO2 emissions (kt),EN.ATM.CO2E.KT,118.1
South Asia (IDA & IBRD),TSA,CO2 emissions (kt),EN.ATM.CO2E.KT,2518434.77
Sub-Saharan Africa (IDA & IBRD countries),TSS,CO2 emissions (kt),EN.ATM.CO2E.KT,760868.113
Trinidad and Tobago,TTO,CO2 emissions (kt),EN.ATM.CO2E.KT,15420
Tunisia,TUN,CO2 emissions (kt),EN.ATM.CO2E.KT,29293
Turkey,TUR,CO2 emissions (kt),EN.ATM.CO2E.KT,407406.2
Tuvalu,TUV,CO2 emissions (kt),EN.ATM.CO2E.KT,6.6
Tanzania,TZA,CO2 emissions (kt),EN.ATM.CO2E.KT,14435.5
Uganda,UGA,CO2 emissions (kt),EN.ATM.CO2E.KT,5674.6
Ukraine,UKR,CO2 emissions (kt),EN.ATM.CO2E.KT,165663.6
Upper middle income,UMC,CO2 emissions (kt),EN.ATM.CO2E.KT,16383995.51
Uruguay,URY,CO2 emissions (kt),EN.ATM.CO2E.KT,6514.3
United States,USA,CO2 emissions (kt),EN.ATM.CO2E.KT,4320532.5
Uzbekistan,UZB,CO2 emissions (kt),EN.ATM.CO2E.KT,115577.8
St. Vincent and the Grenadines,VCT,CO2 emissions (kt),EN.ATM.CO2E.KT,219.8
Venezuela,VEN,CO2 emissions (kt),EN.ATM.CO2E.KT,72509
British Virgin Islands,VGB,CO2 emissions (kt),EN.ATM.CO2E.KT,
Virgin Islands (U.S.),VIR,CO2 emissions (kt),EN.ATM.CO2E.KT,
Vietnam,VNM,CO2 emissions (kt),EN.ATM.CO2E.KT,355323.1
Vanuatu,VUT,CO2 emissions (kt),EN.ATM.CO2E.KT,121.3
World,WLD,CO2 emissions (kt),EN.ATM.CO2E.KT,33566427.59
Samoa,WSM,CO2 emissions (kt),EN.ATM.CO2E.KT,206.5
Kosovo,XKX,CO2 emissions (kt),EN.ATM.CO2E.KT,
Yemen,YEM,CO2 emissions (kt),EN.ATM.CO2E.KT,9960.1
South Africa,ZAF,CO2 emissions (kt),EN.ATM.CO2E.KT,393241.6
Zambia,ZMB,CO2 emissions (kt),EN.ATM.CO2E.KT,7607.1
Zimbabwe,ZWE,CO2 emissions (kt),EN.ATM.CO2E.KT,8312.5
